Raisin City Elementary,Fresno,1290,1159,61
Dunham Elementary,Sonoma,365,84,8
No Students
Nevada City Elementary,Nevada,1712,396,84
Lewiston Elementary,Trinity,123,83,12
Mt. Shasta Union Elementary,Siskiyou,1158,348,110
Evergreen Elementary,Santa Clara,23484,5451,1318
Auburn Union Elementary,Placer,4044,1896,336
Rocklin Unified,Placer,26277,3062,1084
Mill Valley Elementary,Marin,6236,188,60
Los Altos Elementary,Santa Clara,9013,356,113
Alhambra Unified,Los Angeles,33843,16574,5277
McKinleyville Union Elementary,Humboldt,2282,1016,228
Armona Union Elementary,Kings,3045,2259,242
Palo Alto Unified,Santa Clara,24424,1787,555
South Whittier Elementary,Los Angeles,5798,4245,822
General Shafter Elementary,Kern,291,191,26
Esparto Unified,Yolo,1910,1175,226
Strathmore Union Elementary,Tulare,1621,1491,82
Silver Fork Elementary,El Dorado,22,10,2
Plumas County Office of Education,Plumas,44,29,0
Arcadia Unified,Los Angeles,18902,2563,1336
Di Giorgio Elementary,Kern,457,437,4
Riverbank Unified,Stanislaus,5669,3751,712
Beardsley Elementary,Kern,3590,2865,276
Santa Clara County Office of Education,Santa Clara,22109,10243,1975
Durham Unified,Butte,1951,575,154
Mountain Empire Unified,San Diego,5422,2625,571
Pond Union Elementary,Kern,392,300,54
Moorpark Unified,Ventura,12789,3573,808
Oak View Union Elementary,San Joaquin,802,317,76
Sweetwater Union High,San Diego,79871,32623,8787
Lennox,Los Angeles,14359,11455,1905
Kirkwood Elementary,Tehama,206,87,23
Banning Unified,Riverside,8954,6659,988
Winters Joint Unified,Yolo,3075,1618,388
Farmersville Unified,Tulare,5048,4065,407
Needles Unified,San Bernardino,1886,1282,105
South Fork Union,Kern,481,371,34
El Dorado Union High,El Dorado,13046,1898,413
Heber Elementary,Imperial,2459,1907,285
Kern High,Kern,75979,42758,7263
Westside Elementary,Fresno,2183,1153,235
Inyo County Office of Education,Inyo,2488,2177,125
Forks of Salmon Elementary,Siskiyou,20,8,0
Grossmont Union High,San Diego,42355,14861,7618
San Antonio Union Elementary,Monterey,313,148,24
Arcohe Union Elementary,Sacramento,888,395,137
Black Butte Union Elementary,Shasta,426,286,32
SBE - Barack Obama Charter,Los Angeles,693,574,58
La Habra City Elementary,Orange,9393,5895,1079
California School for the Deaf-Fremont (State Special Schl),Alameda,687,642,0
South Bay Union,San Diego,14651,8556,1080
Twin Rivers Unified,Sacramento,61799,44988,6508
Mono County Office of Education,Mono,403,344,15
Bonsall Unified,San Diego,5668,1681,312
Jefferson Union High,San Mateo,9574,2473,868
Santa Rosa Elementary,Sonoma,10490,4840,1345
Oak Run Elementary,Shasta,128,66,20
SBE - The School of Arts and Enterprise,Los Angeles,1475,939,117
Monrovia Unified,Los Angeles,11052,4951,1478
Kashia Elementary,Sonoma,24,22,0
Orinda Union Elementary,Contra Costa,5052,25,0
Fillmore Unified,Ventura,7431,4069,1186
Knightsen Elementary,Contra Costa,1162,343,60
San Pasqual Union Elementary,San Diego,1098,139,30
Big Oak Flat-Groveland Unified,Tuolumne,595,209,0
SBE - Prepa Tec Los Angeles High,Los Angeles,224,198,14
Mountain View Whisman ,Santa Clara,10206,2857,651
Foresthill Union Elementary,Placer,785,259,70
Death Valley Unified,Inyo,43,19,12
Fieldbrook Elementary,Humboldt,291,62,59
Pacific Elementary,Santa Cruz,212,52,18
Nuestro Elementary,Sutter,977,158,163
Brawley Elementary,Imperial,7926,6082,537
Petaluma Joint Union High,Sonoma,10602,2513,1234
San Benito County Office of Education,San Benito,95,81,4
Wright Elementary,Sonoma,3159,1766,490
Gravenstein Union Elementary,Sonoma,1444,178,40
Lone Pine Unified,Inyo,591,324,74
Sanger Unified,Fresno,23269,14351,2120
Alexander Valley Union Elementary,Sonoma,253,48,20
Allensworth Elementary,Tulare,155,84,0
Trinity County Office of Education,Trinity,150,117,7
Colusa County Office of Education,Colusa,8,4,0
Ojai Unified,Ventura,5014,1673,530
Dunsmuir Elementary,Siskiyou,180,162,0
Kingsburg Joint Union High,Fresno,2279,755,121
SBE - Academia Avance Charter,Los Angeles,790,666,66
Union Elementary,Santa Clara,11455,936,168
Evergreen Union,Tehama,2371,992,317
Round Valley Joint Elementary,Inyo,275,82,12
Emery Unified,Alameda,1366,785,173
Victor Elementary,San Bernardino,25322,19321,1926
Upper Lake Unified,Lake,1652,1085,157
Lowell Joint,Los Angeles,6268,1730,594
Anaheim Elementary,Orange,36763,26384,4469
San Pasqual Valley Unified,Imperial,1411,1289,36
Los Alamitos Unified,Orange,19670,1883,855
Valley Home Joint Elementary,Stanislaus,350,138,42
Brentwood Union Elementary,Contra Costa,17734,3558,953
Cold Spring Elementary,Santa Barbara,336,12,0
Oxnard Union High,Ventura,34109,17701,3816
Byron Union Elementary,Contra Costa,4420,972,428
Wheatland Union High,Yuba,1455,389,150
Chowchilla Elementary,Madera,4378,3075,376
Hickman Community Charter,Stanislaus,2142,402,234
Santa Paula Unified,Ventura,10801,7126,1774
Luther Burbank,Santa Clara,1037,727,174
Yreka Union High,Siskiyou,1250,434,123
Kelseyville Unified,Lake,3397,1913,625
Berryessa Union Elementary,Santa Clara,14507,3383,1309
SBE - The New School of San Francisco,San Francisco,260,40,8
Santa Ana Unified,Orange,107469,86469,6616
Apple Valley Unified,San Bernardino,28443,15629,2100
Morongo Unified,San Bernardino,16798,9595,1528
SBE - Ridgecrest Charter,Kern,944,418,85
Santa Cruz City High,Santa Cruz,9023,2792,710
Calistoga Joint Unified,Napa,1700,828,279
Lemon Grove,San Diego,7549,4612,1059
San Gabriel Unified,Los Angeles,12299,5323,1663
Anderson Valley Unified,Mendocino,1000,644,106
Shaffer Union Elementary,Lassen,357,210,50
Tuolumne County Superintendent of Schools,Tuolumne,428,179,30
Long Beach Unified,Los Angeles,151307,89282,15285
Wasco Union High,Kern,3620,2427,391
Willits Unified,Mendocino,3720,2291,403
Pope Valley Union Elementary,Napa,115,72,14
